id;description;name;applicationId;dietGroupId
1;;Alpacas and Llamas;1;
2;;Complete Feeds for the four production catergories;1;1
3;;MNE;1;2
4;;MNI;1;2
5;;Pigs;1;
6;;Finishing Rations for Gilts and Barrows;1;5
7;;MNE;1;6
8;;MNI;1;6
9;;Poultry;1;
10;;Quail;1;9
11;;Japanese Quail and Bobwhite Quail;1;10
12;;MNE;1;11
13;;MNI;1;11
14;;Ostriches;1;9
15;;Starter, Grower, Finisher ï¿½and Breeder rations;1;14
16;;MNE;1;15
17;;MNI;1;15
18;;Emus;1;9
19;;Starter, Grower, Finisher and Breeder rations;1;18
20;;MNE;1;19
21;;MNI;1;19
22;;Chickens;1;9
23;;Breeder Hens laying hatching eggs;1;22
24;;MNE;1;23
25;;MNI;1;23
26;;Pigeons;1;
27;;Pelleted, Racing Bird Mixtures;1;26
28;;MNE;1;27
29;;MNI;1;27
30;;Turkeys;1;9
31;;Growing birds and Breeding birds;1;30
32;;MNE;1;31
33;;MNI;1;31
34;;Ducks;1;9
35;;Starter, Grower and Breeder rations;1;34
36;;MNE;1;35
37;;MNI;1;35
38;;Geese;1;9
39;;Starter, Grower and Breeder rations;1;38
40;;MNE;1;39
41;;MNI;1;39
42;;Pheasants;1;9
43;;Starter, Grower and Breeder rations;1;42
44;;MNE;1;43
45;;MNI;1;43
46;;Broilers;1;9
47;;Growing and Finishing Rations;1;46
48;;MNE;1;47
49;;MNI;1;47
50;;Fish;1;
51;;Carnivorous Shrimp species;1;50
52;;MNE;1;51
53;;Omnivorous fish species;1;50
54;;MNE;1;53
55;;Carnivorous fish species;1;50
56;;MNE;1;55
57;;Omnivorous Shrimp species;1;50
58;;MNE;1;57
59;;MNI;1;53
60;;MNI;1;57
61;;MNI;1;55
62;;MNI;1;51
63;;Layers, Both White Egg and Brown Egg Laying strains;1;22
64;;MNE;1;63
65;;MNI;1;63
66;;Egg Laying Pullets at different stages of Growth;1;22
67;;MNE;1;66
68;;MNI;1;66
69;;Beef Cattle;1;
70;;Yearling Bulls and Mature Breeding Bulls 770 kg (1700 lb);1;69
71;;MNE;1;70
72;;MNI;1;70
73;;Yearling Bulls and Mature Breeding Bulls 1040 kg (2300 lb);1;69
74;;MNE;1;73
75;;MNI;1;73
76;;Yearling Bulls and Mature Breeding Bulls 900 kg (2000 lb);1;69
77;;MNE;1;76
78;;MNI;1;76
79;;Goats;1;
80;;Growing Replacement Does and Bucks;1;79
81;;MNE;1;80
82;;MNI;1;80
83;;Dairy Cattle;1;
84;;Gestation rations for pregnant cows and Heifers;1;83
85;;MNE;1;84
86;;MNI;1;84
87;;Rations for Lactating cows for the first 6 months since calving;1;69
88;;MNE;1;87
89;;MNI;1;87
90;;Sheep;1;
91;;Growing and Finishing lambs;1;90
92;;MNE;1;91
93;;MNI;1;91
94;;Milk Breeds;1;79
95;;MNE;1;94
96;;MNI;1;94
97;;Mohair and Cashmere producing Goats;1;79
98;;MNE;1;97
99;;MNI;1;97
100;;Maintenance and Gestation rations;1;79
101;;MNE;1;100
102;;MNI;1;100
103;;Game;1;
104;;Small Antelope;1;103
105;;On Poor or very little grazing;1;104
106;;MNE;1;105
107;;Large Antelope;1;103
108;;On poor or very little grazing;1;107
109;;MNE;1;108
110;;Deer;1;103
111;;On Poor or very little grazing;1;110
112;;MNE;1;111
113;;MNI;1;111
114;;MNI;1;105
115;;MNI;1;108
116;;Cats;1;
117;;MNE;1;116
118;;MNI;1;116
119;;Dogs;1;
120;;MNE;1;119
121;;MNI;1;119
122;;Mature Ewes, Maintenance, Gestation and Lactation;1;90
123;;MNE;1;122
124;;First Pregnancy Ewes, Flushing, Gestation and Lactation;1;90
125;;MNE;1;124
126;;MNI;1;122
127;;MNI;1;124
128;;Complete rations for lactating Cows;1;83
129;;Large Breeds 3% BFat;1;128
130;;MNE;1;129
131;;MNI;1;129
132;;Small Breeds 4% BFat;1;128
133;;MNE;1;132
134;;Large Breeds 4% BFat;1;128
135;;MNE;1;134
136;;MNI;1;134
137;;MNI;1;132
138;;Small Breeds 5% BFat;1;128
139;;MNE;1;138
140;;MNI;1;138
141;;Gestating Sows with a specific BW and an Anticipated Litter Size;1;5
142;;MNE;1;141
143;;MNI;1;141
144;;Rabbits;1;
145;;MNE;1;144
146;;MNI;1;144
147;;Calf Grower and Heifer Replacement rations;1;83
148;;MNE;1;147
149;;MNI;1;147
150;;Horses;1;
151;;Mature Horses;1;150
152;;MNE;1;151
153;;MNI;1;151
154;;Dairy Concentrates for a variety of forage regimes;1;83
155;;MNE;1;154
156;;MNI;1;154
157;;Zebra;1;103
158;;On Good and abundant grazing;1;157
159;;MNE;1;158
160;;MNI;1;158
161;;On Average to below average grazing;1;157
162;;MNE;1;161
163;;MNI;1;161
164;;On Poor or very little grazing;1;157
165;;MNE;1;164
166;;MNI;1;164
167;;Growing Horses;1;150
168;;MNE;1;167
169;;MNI;1;167
170;;Lactating Sows, According to BW and according to performance of the litter;1;5
171;;MNE;1;170
172;;MNI;1;170
173;;Milk Replacers, Pre;1;83
174;;starter and Starter rations for calves;1;173
175;;MNE;1;174
176;;MNI;1;174
177;;Growing Gilts and Barrows of mixed gender, ratio of about 1 to 1;1;5
178;;MNE;1;177
179;;MNI;1;177
180;;Rations for mature pregnant and non pregnant cows;1;69
181;;MNE;1;180
182;;MNI;1;180
183;;Rations for young cows raising their first crop of calves;1;69
184;;MNE;1;183
185;;MNI;1;183
186;;Concentrate feeds for animals on pasture or other forage regime;1;1
187;;MNE;1;186
188;;MNI;1;186
189;;Rations for Replacement Ewes and Rams;1;90
190;;MNE;1;189
191;;MNI;1;189
192;;Sexually Active Boar rations;1;5
193;;MNE;1;192
194;;MNI;1;192
195;;Growing and Finishing Steer and Heifer Calves at roughly 525kg (1150 lb);1;69
196;;MNE;1;195
197;;MNI;1;195
198;;On Good and Abundant grazing;1;104
199;;MNE;1;198
200;;On Good and Abundant grazing;1;110
201;;MNE;1;200
202;;On Good and Abundant grazing;1;107
203;;MNE;1;202
204;;MNI;1;200
205;;MNI;1;198
206;;MNI;1;202
207;;On Average to below averge grazing;1;104
208;;MNE;1;207
209;;On average to below average grazing;1;110
210;;MNE;1;209
211;;On Average to below average grazing;1;107
212;;MNE;1;211
213;;MNI;1;211
214;;MNI;1;209
215;;MNI;1;207
216;;Gestation Rations for two year old Replacement Heifers;1;69
217;;MNE;1;216
218;;MNI;1;216
219;;User Defined;1;
